System;ObjectContainer;POI Type;Description/Name;Local X Coord;Local Y Coord;Local Z Coord;Recording Time
Stanton;Daymar;CustomType;Benny Henge #1;-626.977;134.199;-1.816;02/12/2021 xx:xx:xx
Stanton;Daymar;CustomType;Benny Henge #2;-626.638;135.733;-1.819;02/16/2021 xx:xx:xx
Stanton;Daymar;CustomType;OM-3 with Pisces#1;-0.018;0;0;02/19/2021 xx:xx:xx
Stanton;Daymar;CustomType;Wolf Point #1;-4.223;279.074;95.727;02/19/2021 21:02:15
Stanton;Daymar;CustomType;Wolf Point #1;-4.416;279.071;95.727;02/19/2021 21:08:07
Stanton;Daymar;CustomType;Wolf Point #2;-4.42;279.071;95.727;02/19/2021 23:56:10
Stanton;Daymar;CustomType;Wolf Point #2;-4.416;279.072;95.727;02/19/2021 23:58:17
Stanton;MicroTech;CustomType;a place to visit #2;524.395;426.261;737.104;03/02/2021 01:41:25
Stanton;Yela;CustomType;Stanton7, Race1, Checkpoint2;37.672;225.806;213.592;03/05/2021 21:25:39
Stanton;Yela;CustomType;Stanton7, Race1, Checkpoint1;6.478;237.141;204.49;03/05/2021 21:28:02
Stanton;MicroTech;CustomType;TEST;950.659;-380.151;43.336;03/17/2021 22:18:45
Stanton;Clio;CustomType;Stanton7, Race3, Startline;107.412;-46.091;-316.36;03/28/2021 14:28:33
Stanton;Clio;CustomType;Stanton7, Race3, CP1;79.821;-2.218;-327.656;03/28/2021 14:49:29
Stanton;Clio;CustomType;Stanton7, Race3, CP2;107.775;-3.171;-319.598;03/28/2021 15:03:42
Stanton;Hurston;CustomType;Crashed Satelite next to Lorville;-234.97;-783.368;577.749;08/18/2021 15:17:46
Stanton;Magda;CustomType;Hurston Hurt Locker Crater;-190.049;255.502;-122.296;10/14/2021 22:10:27
Stanton;Magda;CustomType;HHL Civilian Crater;-159.244;274;-126.472;10/18/2021 00:32:14
Stanton;Magda;CustomType;HHL Civilian Crater #2;-159.185;273.981;-126.416;10/18/2021 00:36:08
Stanton;MicroTech;CustomType;ocatgon vor ort;631.437;-142.4;763.777;11/09/2021 02:10:17
Stanton;MicroTech;CustomType;Octagon Final;636.71;-152.548;758.528;11/09/2021 02:41:54
Stanton;MicroTech;CustomType;Painted Rooftop by Jax McCleary;518.273;416.401;747.889;01/01/2022 16:50:20
Stanton;MicroTech;CustomType;jump the river pos2;807.931;418.822;415.928;04/30/2022 03:37:17
Stanton;MicroTech;CustomType;jump the river #3;808.068;418.563;415.889;04/30/2022 03:37:59
Stanton;MicroTech;CustomType;jump the river 4;809.268;416.406;415.369;04/30/2022 03:39:57
Stanton;MicroTech;CustomType;jump the river 5;809.689;415.137;415.63;04/30/2022 03:41:37
Stanton;MicroTech;CustomType;jump the river 6;809.57;415.168;415.856;04/30/2022 03:42:19
Stanton;Crusader;CustomType;Brushwood Drop Location #4;5375.345;-769.233;5287.887;05/22/2022 23:09:24
Stanton;Hurston;CustomType;Hill Climb Mountain;-942.808;296.24;-160.163;05/26/2022 22:59:36
Stanton;Yela;CustomType;Landing PAD, Mining Area 157;5.204;222.371;220.321;05/29/2022 22:10:57
